transaction_amount,transaction_hour,customer_age,customer_tenure_months,merchant_risk_level,transaction_velocity,transaction_type,device_type,location_type,payment_method,is_fraud
1173.17,21,66,40,Low,3,POS,Mobile,Domestic,Card,1
7525.3,1,36,86,Low,1,E-commerce,Desktop,Domestic,Card,0
3291.86,3,52,29,Low,6,E-commerce,Mobile,Domestic,Card,0
2282.36,12,63,9,Medium,1,In-App,Mobile,Domestic,Wallet,0
424.06,12,23,21,High,4,POS,Mobile,International,Wallet,1
423.99,22,46,32,Low,1,POS,Desktop,Domestic,Card,0
149.6,21,36,72,Medium,3,In-App,Mobile,Domestic,UPI,0
5028.08,22,67,55,Low,3,E-commerce,Mobile,Domestic,Wallet,0
2297.71,16,61,43,Low,2,In-App,Desktop,International,Card,1
3078.13,5,32,10,Low,4,POS,Mobile,Domestic,Card,1
52.0,10,55,49,Low,4,E-commerce,Desktop,Domestic,Card,0
8758.89,18,38,87,Medium,3,E-commerce,Mobile,International,Card,1
4466.07,15,61,84,Low,2,POS,Tablet,Domestic,Card,0
596.72,7,68,13,Medium,5,In-App,Mobile,Domestic,Card,0
501.7,0,56,86,Low,3,POS,Desktop,Domestic,Card,1
506.53,9,40,41,High,4,In-App,Mobile,International,Card,0
906.88,1,37,79,Low,3,E-commerce,Mobile,Domestic,Card,1
1859.82,18,59,31,Low,3,In-App,Mobile,Domestic,UPI,0
1413.84,13,67,109,High,4,In-App,Tablet,Domestic,Wallet,1
860.56,2,19,32,Low,2,E-commerce,Mobile,Domestic,Wallet,0
2365.93,22,62,45,Medium,2,E-commerce,Mobile,Domestic,Wallet,0
375.59,23,49,13,Low,0,In-App,Mobile,International,UPI,1
863.79,8,64,25,Medium,2,In-App,Desktop,Domestic,Card,1
1140.69,22,45,85,Low,2,In-App,Mobile,Domestic,Card,0
1522.34,7,21,68,Medium,5,E-commerce,Mobile,Domestic,Card,0
3844.84,10,24,118,Low,4,E-commerce,Mobile,International,Card,1
556.84,14,20,106,Medium,6,E-commerce,Mobile,Domestic,Card,0
1805.07,5,42,15,Low,3,POS,Desktop,Domestic,Wallet,1
2243.76,1,65,64,Low,5,POS,Desktop,Domestic,UPI,1
118.91,0,26,85,Low,2,E-commerce,Mobile,Domestic,UPI,1
2338.33,2,40,60,High,5,E-commerce,Mobile,International,UPI,1
467.4,22,40,106,Medium,1,In-App,Mobile,Domestic,Card,0
168.16,17,66,117,Low,5,POS,Mobile,Domestic,Card,0
7434.22,13,43,8,Medium,3,E-commerce,Mobile,Domestic,Wallet,0
8426.58,16,57,95,Low,3,POS,Desktop,Domestic,UPI,1
4130.83,1,35,74,High,5,E-commerce,Desktop,Domestic,Card,1
908.22,18,41,85,Low,2,E-commerce,Mobile,Domestic,Card,1
256.94,21,44,17,Low,2,E-commerce,Mobile,International,Card,1
2881.88,8,62,5,Low,2,POS,Mobile,International,Wallet,1
1450.23,7,19,13,Medium,7,E-commerce,Mobile,Domestic,Card,1
325.38,9,18,21,Low,3,E-commerce,Desktop,Domestic,Card,0
1708.87,8,65,117,Low,2,POS,Desktop,International,UPI,0
87.48,7,33,115,Medium,7,E-commerce,Mobile,Domestic,Card,0
6001.06,6,60,44,Low,1,E-commerce,Mobile,Domestic,UPI,1
748.64,21,41,76,Low,5,E-commerce,Mobile,Domestic,UPI,0
2715.64,23,53,89,Medium,4,E-commerce,Mobile,Domestic,Card,1
933.87,5,28,53,High,2,E-commerce,Desktop,Domestic,Card,0
1835.28,1,43,28,Medium,2,E-commerce,Mobile,International,UPI,0
1978.06,8,23,66,Low,3,E-commerce,Desktop,Domestic,UPI,0
510.97,8,43,21,Low,0,E-commerce,Desktop,Domestic,Card,0
8732.02,18,46,105,Medium,2,POS,Mobile,Domestic,UPI,1
3730.61,8,60,86,Low,1,E-commerce,Desktop,Domestic,Card,0
7012.74,1,18,57,Low,4,POS,Mobile,Domestic,Card,0
5630.38,18,26,55,Low,2,E-commerce,Mobile,Domestic,Card,0
2277.64,15,44,2,Medium,5,POS,Mobile,Domestic,Wallet,0
6373.59,21,24,94,Low,2,In-App,Mobile,Domestic,UPI,0
